"x" "y" "yield" "nitro" "topo" "bv" "rep" "nf" "StripNo" "RowId" "row" "col" "cnitro" "nitro.sq" "cnitro.sq" "gridobject" "gridId"
-5137096.44556515 -6258647.32575294 89.27 75.4 "W" 153.92 "R3" "N3" "Strip: 14" 3 "3" "14" 10.5 5685.16 110.25 "189" "50"
-5137096.37653416 -6258638.86103279 90.19 99.8 "W" 91.74 "R3" "N4" "Strip: 15" 3 "3" "15" 34.9 9960.04 1218.01 "189" "51"
-5137104.77301068 -6258630.3281129 96.03 0 "W" 115.67 "R3" "N0" "Strip: 16" 3 "3" "16" -64.9 0 4212.01 "189" "52"
-5137104.70500702 -6258621.86382163 98.95 50.6 "W" 133.39 "R3" "N2" "Strip: 17" 3 "3" "17" -14.3 2560.36 204.49 "189" "53"
-5137104.63596925 -6258613.39911827 90.75 39 "W" 173.43 "R3" "N1" "Strip: 18" 3 "3" "18" -25.9 1521 670.81 "189" "54"
-5137055.01104438 -6258757.7070831 97.95 124.6 "W" 174.08 "R1" "N5" "Strip: 1" 4 "4" "1" 59.7 15525.16 3564.09 "4" "55"
-5137054.94204334 -6258749.24228881 92.39 75.4 "W" 175.09 "R1" "N3" "Strip: 2" 4 "4" "2" 10.5 5685.16 110.25 "4" "56"
-5137063.3385622 -6258740.70926413 91.04 99.8 "W" 174.33 "R1" "N4" "Strip: 3" 4 "4" "3" 34.9 9960.04 1218.01 "4" "57"
-5137063.2705885 -6258732.24489873 97.31 0 "W" 179.59 "R1" "N0" "Strip: 4" 4 "4" "4" -64.9 0 4212.01 "4" "58"
-5137063.20261281 -6258723.78053825 94.35 50.6 "W" 177.02 "R1" "N2" "Strip: 5" 4 "4" "5" -14.3 2560.36 204.49 "4" "59"
-5137071.59808993 -6258715.24712031 103.1 39 "W" 176.98 "R1" "N1" "Strip: 6" 4 "4" "6" -25.9 1521 670.81 "4" "60"
-5137071.53010944 -6258706.7827717 93.42 124.6 "W" 177.67 "R2" "N5" "Strip: 7" 4 "4" "7" 59.7 15525.16 3564.09 "97" "61"
-5137071.46212697 -6258698.31842801 97.79 75.4 "W" 167.78 "R2" "N3" "Strip: 8" 4 "4" "8" 10.5 5685.16 110.25 "97" "62"
-5137079.8575945 -6258689.78503381 98.21 99.8 "W" 169.02 "R2" "N4" "Strip: 9" 4 "4" "9" 34.9 9960.04 1218.01 "97" "63"
-5137079.78960723 -6258681.32070199 94.04 0 "W" 167.88 "R2" "N0" "Strip: 10" 4 "4" "10" -64.9 0 4212.01 "97" "64"
-5137079.72161797 -6258672.8563751 89.09 50.6 "W" 162.27 "R2" "N2" "Strip: 11" 4 "4" "11" -14.3 2560.36 204.49 "97" "65"
-5137079.65259458 -6258664.39163612 91.12 39 "W" 105.27 "R2" "N1" "Strip: 12" 4 "4" "12" -25.9 1521 670.81 "97" "66"
-5137088.04908186 -6258655.85868962 110.9 124.6 "W" 96.39 "R3" "N5" "Strip: 13" 4 "4" "13" 59.7 15525.16 3564.09 "190" "67"
-5137087.98108581 -6258647.39437952 86.56 75.4 "W" 100.92 "R3" "N3" "Strip: 14" 4 "4" "14" 10.5 5685.16 110.25 "190" "68"
-5137087.91205564 -6258638.92965733 82.52 99.8 "W" 166.24 "R3" "N4" "Strip: 15" 4 "4" "15" 34.9 9960.04 1218.01 "190" "69"
-5137096.30853332 -6258630.39673457 90.31 0 "W" 143.48 "R3" "N0" "Strip: 16" 4 "4" "16" -64.9 0 4212.01 "190" "70"
-5137096.24053049 -6258621.93244126 100.55 50.6 "W" 169.45 "R3" "N2" "Strip: 17" 4 "4" "17" -14.3 2560.36 204.49 "190" "71"
-5137096.17149353 -6258613.46773587 88.97 39 "W" 171.35 "R3" "N1" "Strip: 18" 4 "4" "18" -25.9 1521 670.81 "190" "72"
-5137046.54655266 -6258757.77574033 95.74 124.6 "W" 170.89 "R1" "N5" "Strip: 1" 5 "5" "1" 59.7 15525.16 3564.09 "5" "73"
-5137046.47755244 -6258749.31094401 19.41 75.4 "W" 177.46 "R1" "N3" "Strip: 2" 5 "5" "2" 10.5 5685.16 110.25 "5" "74"
-5137054.87407245 -6258740.77791645 97.84 99.8 "W" 176.85 "R1" "N4" "Strip: 3" 5 "5" "3" 34.9 9960.04 1218.01 "5" "75"
-5137054.80609957 -6258732.31354902 96.48 0 "W" 177.06 "R1" "N0" "Strip: 4" 5 "5" "4" -64.9 0 4212.01 "5" "76"
-5137054.73709257 -6258723.84876949 89.24 50.6 "W" 177.79 "R1" "N2" "Strip: 5" 5 "5" "5" -14.3 2560.36 204.49 "5" "77"
-5137063.13360299 -6258715.31576568 102.36 39 "W" 175.37 "R1" "N1" "Strip: 6" 5 "5" "6" -25.9 1521 670.81 "5" "78"
-5137063.06562333 -6258706.85141504 86.33 124.6 "W" 176.41 "R2" "N5" "Strip: 7" 5 "5" "7" 59.7 15525.16 3564.09 "98" "79"
-5137062.99660954 -6258698.38665231 98.21 75.4 "W" 178.2 "R2" "N3" "Strip: 8" 5 "5" "8" 10.5 5685.16 110.25 "98" "80"
-5137071.39311037 -6258689.85367224 99.17 99.8 "W" 166.92 "R2" "N4" "Strip: 9" 5 "5" "9" 34.9 9960.04 1218.01 "98" "81"
-5137071.32512392 -6258681.38933839 90.89 0 "W" 172.5 "R2" "N0" "Strip: 10" 5 "5" "10" -64.9 0 4212.01 "98" "82"
-5137071.25610334 -6258672.92459245 89.88 50.6 "W" 174.4 "R2" "N2" "Strip: 11" 5 "5" "11" -14.3 2560.36 204.49 "98" "83"
-5137071.18811292 -6258664.46026845 94.85 39 "W" 171.15 "R2" "N1" "Strip: 12" 5 "5" "12" -25.9 1521 670.81 "98" "84"
-5137079.58460135 -6258655.92731907 97.61 124.6 "W" 168 "R3" "N5" "Strip: 13" 5 "5" "13" 59.7 15525.16 3564.09 "191" "85"
-5137079.51557399 -6258647.46258993 80.05 75.4 "W" 171.65 "R3" "N3" "Strip: 14" 5 "5" "14" 10.5 5685.16 110.25 "191" "86"
-5137079.44757678 -6258638.99828272 85.22 99.8 "W" 172.75 "R3" "N4" "Strip: 15" 5 "5" "15" 34.9 9960.04 1218.01 "191" "87"
-5137087.84405562 -6258630.46535708 87.22 0 "W" 172.07 "R3" "N0" "Strip: 16" 5 "5" "16" -64.9 0 4212.01 "191" "88"
-5137087.77605361 -6258622.00106174 92.2 50.6 "W" 168.74 "R3" "N2" "Strip: 17" 5 "5" "17" -14.3 2560.36 204.49 "191" "89"
-5137087.70701747 -6258613.53635431 99.69 39 "W" 171.22 "R3" "N1" "Strip: 18" 5 "5" "18" -25.9 1521 670.81 "191" "90"
-5137038.08206058 -6258757.8443984 104.31 124.6 "W" 173.53 "R1" "N5" "Strip: 1" 6 "6" "1" 59.7 15525.16 3564.09 "6" "91"
-5137038.01306119 -6258749.37960004 108.03 75.4 "W" 173.7 "R1" "N3" "Strip: 2" 6 "6" "2" 10.5 5685.16 110.25 "6" "92"
-5137046.40958237 -6258740.84656962 108.81 99.8 "W" 173.91 "R1" "N4" "Strip: 3" 6 "6" "3" 34.9 9960.04 1218.01 "6" "93"
-5137046.34161031 -6258732.38220015 94.7 0 "W" 175.58 "R1" "N0" "Strip: 4" 6 "6" "4" -64.9 0 4212.01 "6" "94"
-5137046.27260413 -6258723.91741859 82.68 50.6 "W" 171.87 "R1" "N2" "Strip: 5" 6 "6" "5" -14.3 2560.36 204.49 "6" "95"
-5137054.66911571 -6258715.3844119 97.92 39 "W" 179.39 "R1" "N1" "Strip: 6" 6 "6" "6" -25.9 1521 670.81 "6" "96"
-5137054.60113687 -6258706.92005922 86.59 124.6 "W" 175.59 "R2" "N5" "Strip: 7" 6 "6" "7" 59.7 15525.16 3564.09 "99" "97"
-5137054.5321239 -6258698.45529446 82.73 75.4 "W" 178.65 "R2" "N3" "Strip: 8" 6 "6" "8" 10.5 5685.16 110.25 "99" "98"
-5137062.92862589 -6258689.92231151 93.41 99.8 "W" 177.04 "R2" "N4" "Strip: 9" 6 "6" "9" 34.9 9960.04 1218.01 "99" "99"
-5137062.86064027 -6258681.45797563 93 0 "W" 173.67 "R2" "N0" "Strip: 10" 6 "6" "10" -64.9 0 4212.01 "99" "100"
-5137062.79162051 -6258672.99322766 83.58 50.6 "W" 176.33 "R2" "N2" "Strip: 11" 6 "6" "11" -14.3 2560.36 204.49 "99" "101"
-5137062.72363091 -6258664.52890162 93.24 39 "W" 174.27 "R2" "N1" "Strip: 12" 6 "6" "12" -25.9 1521 670.81 "99" "102"
-5137071.1201205 -6258655.99594936 106.11 124.6 "W" 194.71 "R3" "N5" "Strip: 13" 6 "6" "13" 59.7 15525.16 3564.09 "192" "103"
-5137071.05109396 -6258647.53121819 96.28 75.4 "W" 174.76 "R3" "N3" "Strip: 14" 6 "6" "14" 10.5 5685.16 110.25 "192" "104"
-5137070.98309757 -6258639.06690894 108.45 99.8 "W" 174.05 "R3" "N4" "Strip: 15" 6 "6" "15" 34.9 9960.04 1218.01 "192" "105"
-5137079.37957757 -6258630.53398043 87.65 0 "W" 174.32 "R3" "N0" "Strip: 16" 6 "6" "16" -64.9 0 4212.01 "192" "106"
-5137079.31054425 -6258622.06926604 90.26 50.6 "W" 170.8 "R3" "N2" "Strip: 17" 6 "6" "17" -14.3 2560.36 204.49 "192" "107"
-5137079.24254107 -6258613.60497359 87.66 39 "W" 176.6 "R3" "N1" "Strip: 18" 6 "6" "18" -25.9 1521 670.81 "192" "108"
-5137029.6170312 -6258757.91141473 100.69 124.6 "W" 175.75 "R1" "N5" "Strip: 1" 7 "7" "1" 59.7 15525.16 3564.09 "7" "109"
-5137029.54906477 -6258749.44703135 93.42 75.4 "W" 181.37 "R1" "N3" "Strip: 2" 7 "7" "2" 10.5 5685.16 110.25 "7" "110"
-5137037.9455871 -6258740.91399805 100.97 99.8 "W" 174.49 "R1" "N4" "Strip: 3" 7 "7" "3" 34.9 9960.04 1218.01 "7" "111"
-5137037.87658373 -6258732.44920953 92.49 0 "W" 177.79 "R1" "N0" "Strip: 4" 7 "7" "4" -64.9 0 4212.01 "7" "112"
-5137037.80861051 -6258723.98484294 85.11 50.6 "W" 173.53 "R1" "N2" "Strip: 5" 7 "7" "5" -14.3 2560.36 204.49 "7" "113"
-5137046.20462809 -6258715.45305896 94.72 39 "W" 168.56 "R1" "N1" "Strip: 6" 7 "7" "6" -25.9 1521 670.81 "7" "114"
-5137046.1361131 -6258706.98706166 84.66 124.6 "W" 170.61 "R2" "N5" "Strip: 7" 7 "7" "7" 59.7 15525.16 3564.09 "100" "115"
-5137046.06813309 -6258698.52271187 81.04 75.4 "W" 172.44 "R2" "N3" "Strip: 8" 7 "7" "8" 10.5 5685.16 110.25 "100" "116"
-5137054.46414108 -6258689.99095162 92.37 99.8 "W" 177.09 "R2" "N4" "Strip: 9" 7 "7" "9" 34.9 9960.04 1218.01 "100" "117"
-5137054.3956193 -6258681.52497113 91.05 0 "W" 170.81 "R2" "N0" "Strip: 10" 7 "7" "10" -64.9 0 4212.01 "100" "118"
-5137054.3276325 -6258673.06063814 89.63 50.6 "W" 174.77 "R2" "N2" "Strip: 11" 7 "7" "11" -14.3 2560.36 204.49 "100" "119"
-5137054.25964372 -6258664.59631006 96.88 39 "W" 173.3 "R2" "N1" "Strip: 12" 7 "7" "12" -25.9 1521 670.81 "100" "120"
-5137062.65563931 -6258656.0645805 102.66 124.6 "W" 191.1 "R3" "N5" "Strip: 13" 7 "7" "13" 59.7 15525.16 3564.09 "193" "121"
-5137062.58710876 -6258647.59862172 93.89 75.4 "W" 170.48 "R3" "N3" "Strip: 14" 7 "7" "14" 10.5 5685.16 110.25 "193" "122"
-5137062.51911319 -6258639.13431044 100.47 99.8 "W" 175.02 "R3" "N4" "Strip: 15" 7 "7" "15" 34.9 9960.04 1218.01 "193" "123"
-5137070.91509919 -6258630.60260462 97.89 0 "W" 168.79 "R3" "N0" "Strip: 16" 7 "7" "16" -64.9 0 4212.01 "193" "124"
-5137070.84656185 -6258622.13666264 85.85 50.6 "W" 169.69 "R3" "N2" "Strip: 17" 7 "7" "17" -14.3 2560.36 204.49 "193" "125"
-5137070.7785595 -6258613.67236815 81.12 39 "W" 171.2 "R3" "N1" "Strip: 18" 7 "7" "18" -25.9 1521 670.81 "193" "126"
-5137021.15253845 -6258757.98007448 96.33 124.6 "W" 176.35 "R1" "N5" "Strip: 1" 8 "8" "1" 59.7 15525.16 3564.09 "8" "127"
-5137021.08457284 -6258749.51568907 90.68 75.4 "W" 193.82 "R1" "N3" "Strip: 2" 8 "8" "2" 10.5 5685.16 110.25 "8" "128"
-5137029.48109634 -6258740.98265289 100.54 99.8 "W" 177.22 "R1" "N4" "Strip: 3" 8 "8" "3" 34.9 9960.04 1218.01 "8" "129"
-5137029.41209379 -6258732.51786234 87.22 0 "W" 175 "R1" "N0" "Strip: 4" 8 "8" "4" -64.9 0 4212.01 "8" "130"
-5137029.34412139 -6258724.05349372 88.28 50.6 "W" 175.17 "R1" "N2" "Strip: 5" 8 "8" "5" -14.3 2560.36 204.49 "8" "131"
-5137037.7406353 -6258715.52048128 86.77 39 "W" 162.3 "R1" "N1" "Strip: 6" 8 "8" "6" -25.9 1521 670.81 "8" "132"
-5137037.67162596 -6258707.05570753 78 124.6 "W" 167.7 "R2" "N5" "Strip: 7" 8 "8" "7" 59.7 15525.16 3564.09 "101" "133"
-5137037.60364677 -6258698.5913557 75.66 75.4 "W" 168.4 "R2" "N3" "Strip: 8" 8 "8" "8" 10.5 5685.16 110.25 "101" "134"
-5137046.00015109 -6258690.05836701 92.23 99.8 "W" 173.18 "R2" "N4" "Strip: 9" 8 "8" "9" 34.9 9960.04 1218.01 "101" "135"
-5137045.93113497 -6258681.59361005 88.84 0 "W" 172.34 "R2" "N0" "Strip: 10" 8 "8" "10" -64.9 0 4212.01 "101" "136"
-5137045.86314899 -6258673.12927502 80.58 50.6 "W" 174.41 "R2" "N2" "Strip: 11" 8 "8" "11" -14.3 2560.36 204.49 "101" "137"
-5137045.79516103 -6258664.66494491 92.33 39 "W" 177.86 "R2" "N1" "Strip: 12" 8 "8" "12" -25.9 1521 670.81 "101" "138"
-5137054.19062081 -6258656.1315699 95.61 124.6 "W" 179.18 "R3" "N5" "Strip: 13" 8 "8" "13" 59.7 15525.16 3564.09 "194" "139"
-5137054.12262805 -6258647.66725166 96.53 75.4 "W" 180.05 "R3" "N3" "Strip: 14" 8 "8" "14" 10.5 5685.16 110.25 "194" "140"
-5137054.05463331 -6258639.20293835 87.25 99.8 "W" 176.35 "R3" "N4" "Strip: 15" 8 "8" "15" 34.9 9960.04 1218.01 "194" "141"
-5137062.4500835 -6258630.66958708 94.07 0 "W" 169.93 "R3" "N0" "Strip: 16" 8 "8" "16" -64.9 0 4212.01 "194" "142"
-5137062.38208395 -6258622.20528564 87.66 50.6 "W" 171.43 "R3" "N2" "Strip: 17" 8 "8" "17" -14.3 2560.36 204.49 "194" "143"
-5137062.31408242 -6258613.74098912 84.23 39 "W" 170.45 "R3" "N1" "Strip: 18" 8 "8" "18" -25.9 1521 670.81 "194" "144"
-5137012.68804536 -6258758.04873508 100.44 124.6 "W" 179.49 "R1" "N5" "Strip: 1" 9 "9" "1" 59.7 15525.16 3564.09 "9" "145"
-5137012.61904843 -6258749.58393062 86.41 75.4 "W" 170.22 "R1" "N3" "Strip: 2" 9 "9" "2" 10.5 5685.16 110.25 "9" "146"
-5137021.0155731 -6258741.05089156 81.87 99.8 "W" 181.47 "R1" "N4" "Strip: 3" 9 "9" "3" 34.9 9960.04 1218.01 "9" "147"
-5137020.94760351 -6258732.58651599 83.51 0 "W" 178.02 "R1" "N0" "Strip: 4" 9 "9" "4" -64.9 0 4212.01 "9" "148"
-5137020.87963192 -6258724.12214534 78.65 50.6 "W" 175 "R1" "N2" "Strip: 5" 9 "9" "5" -14.3 2560.36 204.49 "9" "149"
-5137029.27511486 -6258715.58871301 83.81 39 "W" 169.92 "R1" "N1" "Strip: 6" 9 "9" "6" -25.9 1521 670.81 "9" "150"
-5137029.20713848 -6258707.12435423 78.55 124.6 "W" 175.1 "R2" "N5" "Strip: 7" 9 "9" "7" 59.7 15525.16 3564.09 "102" "151"
-5137029.13916012 -6258698.66000038 77.86 75.4 "W" 174.54 "R2" "N3" "Strip: 8" 9 "9" "8" 10.5 5685.16 110.25 "102" "152"
-5137037.53463346 -6258690.12659179 76.03 99.8 "W" 176.8 "R2" "N4" "Strip: 9" 9 "9" "9" 34.9 9960.04 1218.01 "102" "153"
-5137037.4666503 -6258681.66224981 75.23 0 "W" 178.11 "R2" "N0" "Strip: 10" 9 "9" "10" -64.9 0 4212.01 "102" "154"
-5137037.39866514 -6258673.19791275 73.7 50.6 "W" 175.15 "R2" "N2" "Strip: 11" 9 "9" "11" -14.3 2560.36 204.49 "102" "155"
-5137037.32964587 -6258664.7331636 87.06 39 "W" 178.54 "R2" "N1" "Strip: 12" 9 "9" "12" -25.9 1521 670.81 "102" "156"
-5137045.72613895 -6258656.20020271 98.34 124.6 "W" 172.03 "R3" "N5" "Strip: 13" 9 "9" "13" 59.7 15525.16 3564.09 "195" "157"
-5137045.65814701 -6258647.73588245 85.9 75.4 "W" 197.05 "R3" "N3" "Strip: 14" 9 "9" "14" 10.5 5685.16 110.25 "195" "158"
-5137045.59015308 -6258639.2715671 81.54 99.8 "W" 173.53 "R3" "N4" "Strip: 15" 9 "9" "15" 34.9 9960.04 1218.01 "195" "159"
-5137053.98560444 -6258630.73821294 91.21 0 "W" 168.58 "R3" "N0" "Strip: 16" 9 "9" "16" -64.9 0 4212.01 "195" "160"
-5137053.91760571 -6258622.27390947 82.94 50.6 "W" 169.74 "R3" "N2" "Strip: 17" 9 "9" "17" -14.3 2560.36 204.49 "195" "161"
-5137053.849605 -6258613.80961092 69.63 39 "W" 172.44 "R3" "N1" "Strip: 18" 9 "9" "18" -25.9 1521 670.81 "195" "162"
-5137004.22355194 -6258758.11739651 91.47 124.6 "W" 179.65 "R1" "N5" "Strip: 1" 10 "10" "1" 59.7 15525.16 3564.09 "10" "163"
-5137004.15455583 -6258749.65259002 90.84 75.4 "W" 176.97 "R1" "N3" "Strip: 2" 10 "10" "2" 10.5 5685.16 110.25 "10" "164"
-5137012.55108165 -6258741.11954809 80.83 99.8 "W" 175.27 "R1" "N4" "Strip: 3" 10 "10" "3" 34.9 9960.04 1218.01 "10" "165"
-5137012.48311288 -6258732.65517048 82.18 0 "W" 176.33 "R1" "N0" "Strip: 4" 10 "10" "4" -64.9 0 4212.01 "10" "166"
-5137012.41410999 -6258724.19038078 71.89 50.6 "W" 174.1 "R1" "N2" "Strip: 5" 10 "10" "5" -14.3 2560.36 204.49 "10" "167"
-5137020.81062622 -6258715.6573626 78.24 39 "W" 180.09 "R1" "N1" "Strip: 6" 10 "10" "6" -25.9 1521 670.81 "10" "168"
-5137020.74265066 -6258707.19300178 71.59 124.6 "W" 186.31 "R2" "N5" "Strip: 7" 10 "10" "7" 59.7 15525.16 3564.09 "103" "169"
-5137020.67364098 -6258698.72822888 75.08 75.4 "W" 174.47 "R2" "N3" "Strip: 8" 10 "10" "8" 10.5 5685.16 110.25 "103" "170"
-5137029.07014762 -6258690.19523443 76.32 99.8 "W" 175.31 "R2" "N4" "Strip: 9" 10 "10" "9" 34.9 9960.04 1218.01 "103" "171"
-5137029.00216528 -6258681.73089041 69.92 0 "W" 179.35 "R2" "N0" "Strip: 10" 10 "10" "10" -64.9 0 4212.01 "103" "172"
-5137028.93418095 -6258673.26655132 66.39 50.6 "W" 176.76 "R2" "N2" "Strip: 11" 10 "10" "11" -14.3 2560.36 204.49 "103" "173"
-5137028.8651625 -6258664.80180013 75.2 39 "W" 182.3 "R2" "N1" "Strip: 12" 10 "10" "12" -25.9 1521 670.81 "103" "174"
-5137037.26165674 -6258656.26883637 91.1 124.6 "W" 173.02 "R3" "N5" "Strip: 13" 10 "10" "13" 59.7 15525.16 3564.09 "196" "175"
